,subject,alpha,beta,LL,Confidence Distance,lbound,hbound
0,45628,1.0,8.851368573793776,141.8438968253695,1.9351905424216782,1,5
1,45640,0.6553864669421626,9.89417201309875,134.28529238808582,1.1786080787984548,1,5
2,45664,0.0024385713268967836,51.461533245971694,274.80311669343166,1.5542540116719215,1,5
3,45682,0.8598213225146333,5.764763286013191,167.6372751448284,0.7582246513127668,1,5
4,45745,1.0,9.003098318591613,188.93574040451728,1.8743685287770162,1,5
5,45760,0.728764140565324,15.11323697638704,90.53947257002788,0.5551754496891981,1,5
6,45763,0.9278358510297107,10.401031723261088,73.09106081406534,1.0120831425896637,1,5
7,45805,1.0,6.75171024005058,206.52673998121017,2.537446531119679,1,5
8,45829,1.0,6.569182216345373,135.29596231199787,0.7794312273049527,1,5
9,45964,0.5821765087673522,8.046392668639875,148.46533286387302,0.8291021913104375,1,5
10,46024,1.0,11.85638820098939,76.19627707193631,0.5447041493182376,1,5
11,46057,0.7989723264259634,5.126763443544515,152.54458891405932,1.297335599232174,1,5
12,46072,0.4297059096588197,7.711703447336383,173.00975107516894,0.8896092091775196,1,5
13,46102,0.7699818004432573,5.84683413152303,244.76565892301747,1.3461540918749872,1,5
14,46114,0.9256548079068005,5.899656283474293,137.32071097129318,0.5114674903734182,1,5
15,46159,0.6833446217033643,8.10055077387496,118.14661395378273,0.46088579404847996,1,5
16,46180,0.8227015172995574,6.854968776249345,222.03217472777985,1.712480039699775,1,5
17,46198,0.8401939118582962,9.504817842922959,95.77960738770011,1.287985002056526,1,5
18,46255,1.0,1.1435025694978653,237.57862249353607,0.3205392145061595,1,5
19,46330,0.99670825732196,6.169828141684165,98.02877640408323,0.5717620759756584,1,5
20,46357,0.7214736202569613,6.126624651518538,192.0455720885031,2.078116809277311,1,5
21,46384,1.0,3.365033060314405,169.27127263040146,0.4998822633525424,1,5
22,46450,0.01736141849259525,30.39094809458956,259.305168143242,1.4752245585337371,1,5
23,46471,1.0,4.23119708551391,154.1913873793082,1.8036892810240954,1,5
24,46486,0.3805910662677686,4.6352438922097035,202.4883068548355,1.0370586605644885,1,5
25,46489,1.0,0.38207840748427707,276.4530180275616,3.405399196400264,1,5
26,46522,0.7926152217738459,1.8141707294514422,228.61101511495485,0.6184018969615337,1,5
27,46552,0.986832240059595,25.148991215233725,45.745378448170996,0.43611868771380347,1,5
28,46555,0.002063425025339074,100.0,274.3282429269007,0.7354858774615849,1,5
29,46573,0.8207312357857942,7.395065566268585,109.16156007399634,0.5306820208660963,1,5
30,46591,0.7293588781749064,9.913619934813784,148.4657864627857,0.45177534341659964,1,5
31,46633,1.0,3.669574619888258,231.39753206303888,2.250272321079018,1,5
32,46672,0.9350808612168916,5.408141802306816,123.03193571217506,0.38215999232914427,1,5
33,46687,0.7486490436949355,9.562418230383436,165.8553606956186,1.3583043055821458,1,5
34,46702,0.6277107565502426,13.846316978490165,148.34540206919348,1.4647711405005948,1,5
35,46729,0.7922044020286638,13.0890526002416,96.90514380506923,0.6034015935017994,1,5
36,46750,0.0,46.705749615454586,277.2588722239781,1.6955386091465336,1,5
37,46756,0.0373746379557586,3.750593535033105,271.51760066979284,1.0204200092008322,1,5
38,46792,0.7074029083135687,30.98467360778457,67.51636550561118,0.48621118656508583,1,5
39,46822,0.5801252493882693,8.17972469184426,163.9381387787751,1.357145458768917,1,5
40,46828,0.6001246529301216,12.202939570536984,94.08510996788007,0.7148900282047714,1,5
41,46912,0.39164129890878885,5.03115889295514,194.4258085453842,0.5249315151203726,1,5
42,46915,0.5448146572512876,7.144848207207482,147.11982195986764,0.5197054783718361,1,5
43,46927,0.9815479952172825,16.198557373303142,73.16059926765095,0.5457376301406254,1,5
44,47008,0.30858118781812466,27.97541233806595,138.5786181250711,1.2969004390649959,1,5
45,47182,0.8710772215416314,8.158283494042518,100.50247043287146,0.328864723316157,1,5
46,47269,0.5316247454980153,6.745164494263473,145.71170001671362,0.9679001439731648,1,5
47,47284,0.9099603502045189,8.855598024231973,107.45627134934311,0.5114719769618646,1,5
48,47317,1.0,2.9410499119784737,171.60756373067008,0.28191812727602844,1,5
49,47431,0.7897637833181235,10.275190262799923,143.20038842500168,0.8572426883721558,1,5
50,47470,0.7606637623208957,21.01611955120306,56.46532974615364,0.507645784524775,1,5
51,47737,0.0018233690887230502,100.0,272.72543958146036,1.5779127556930057,1,5
52,47740,0.46552724850499244,4.614332312577082,213.4544052945428,1.8966620933511233,1,5
53,47743,1.0,10.417291640315318,115.6324913681066,1.5675877743581768,1,5
